name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset,method,serving_basis
대구포,수·조·어·육류,,141.0,3876.0,0.0,2.33,31.97,0.4,1,음식,분석,
대나무,기타,,2.0,13.0,,0.2,0.0,0.1,1,원재료성식품,분석,
대두어(흑연),어패류 및 기타 수산물,,96.0,,0.5,0.5,17.5,2.1,1,원재료성식품,분석,
대수리,어패류 및 기타 수산물,,112.0,,1.9,1.9,18.8,2.6,1,원재료성식품,분석,
대창구이,구이류,,595.0,126.0,1.13,4.05,9.11,60.25,1,음식,분석,
대추,과일류,,105.0,1.0,24.34,27.56,1.45,0.1,2,원재료성식품,분석,
대추야자,과일류,,281.0,,59.0,71.3,2.2,0.2,1,원재료성식품,수집,
대추차,음료 및 차류,,53.0,5.0,11.73,,0.0,,7,음식,수집,
대합 미역국,국 및 탕류,320.0,7.0,76.0,0.04,0.67,0.7,0.22,2,음식,산출,산업체 급식
대합류,어패류 및 기타 수산물,,62.0,,1.0,1.0,12.0,0.8,4,원재료성식품,분석,
대합죽,죽 및 스프류,200.0,136.0,199.0,0.1,21.76,3.2,3.49,2,음식,산출,산업체 급식
대황,해조류,,23.0,782.0,,7.46,2.52,0.58,2,원재료성식품,분석,
더덕,채소류,,47.0,1.0,1.68,9.58,2.23,0.85,5,원재료성식품,분석,
더덕구이,구이류,180.0,184.0,743.0,11.6,31.1,3.1,5.2,3,음식,분석,외식 레시피
더덕무침,생채·무침류,70.0,144.0,831.0,13.47,28.93,2.87,1.87,4,음식,분석,외식 레시피
더덕장아찌,장아찌·절임류,90.0,141.0,1167.0,15.38,28.9,4.47,0.89,2,음식,분석,가정식 분석
덩어리엿,당류,10.0,371.0,22.0,43.0,92.0,0.85,0.14,6,가공식품,수집,표시기준 1회 섭취참고량
덮밥,밥류,400.0,136.0,324.0,0.6,20.59,5.84,3.35,11,음식,분석,가정식 분석
도가니탕,국 및 탕류,500.0,40.0,150.0,0.0,0.82,8.35,0.33,1,음식,분석,가정식 분석
도넛,빵 및 과자류,70.0,446.0,386.0,17.54,50.88,5.26,24.56,285,음식,수집,가정식 분석
도다리구이,구이류,79.2,153.0,1039.0,0.0,0.71,23.7,5.5,1,음식,산출,외식 레시피
도다리류,어패류 및 기타 수산물,,86.0,67.0,,0.0,19.52,0.36,3,원재료성식품,분석,
도도바리류,어패류 및 기타 수산물,,95.0,,0.48,0.48,19.42,1.2,1,원재료성식품,분석,
도라지,채소류,,56.0,3.0,1.15,13.08,1.7,0.11,6,원재료성식품,분석,
도라지나물,나물·숙채류,75.6,39.0,333.0,0.43,4.76,0.7,2.09,4,음식,산출,산업체 급식
도라지나물무침,나물·숙채류,50.0,130.0,411.0,0.9,13.12,2.48,7.52,1,음식,분석,가정식 분석
도라지생채,생채·무침류,160.0,119.0,522.0,9.6,24.52,2.75,1.11,12,음식,분석,가정식 분석
도라지차,차류,,22.0,7.0,,5.1,0.3,,1,원재료성식품,분석,
도라지튀김,튀김류,86.0,179.0,507.0,1.33,19.21,5.7,8.61,2,음식,산출,외식 레시피
도루묵,어패류 및 기타 수산물,,113.0,,0.45,0.45,16.05,4.6,2,원재료성식품,분석,
도루묵조림,조림류,123.2,101.0,196.0,1.53,5.51,11.2,3.08,2,음식,산출,산업체 급식
도루묵찌개,찌개 및 전골류,494.0,63.0,62.0,1.3,4.04,6.8,2.31,1,음식,산출,외식 레시피
도미 매운탕,찌개 및 전골류,297.0,47.0,351.0,1.08,3.37,5.9,1.13,1,음식,산출,외식 레시피
도미찜,찜류,226.7,52.0,85.0,0.92,3.22,7.9,0.91,1,음식,산출,외식 레시피
도미튀김,튀김류,61.8,301.0,1720.0,0.02,18.9,25.9,12.22,1,음식,산출,외식 레시피
도시락,즉석식품류,,157.0,321.0,2.61,22.17,6.52,4.78,3224,가공식품,수집,
도토리,견과 및 종실류,,348.0,3.0,,79.5,3.3,1.6,4,원재료성식품,분석,
도토리 국수,견과 및 종실류,,343.0,517.0,,72.2,12.4,0.7,1,원재료성식품,수집,
도토리묵,견과 및 종실류,,47.0,76.0,0.0,11.23,0.33,0.11,2,원재료성식품,분석,
도토리묵무침,생채·무침류,131.2,60.0,322.0,2.09,11.66,1.28,1.2,7,음식,산출,산업체 급식
도화돔,어패류 및 기타 수산물,,130.0,,0.0,0.0,21.3,4.3,1,원재료성식품,분석,
돈가스,튀김류,,312.0,287.0,1.83,19.24,16.5,18.77,11,음식,분석,
돌나물,생채·무침류,90.0,42.0,193.0,4.13,8.47,0.96,0.92,3,음식,산출,산업체 급식
돌나물무침,생채·무침류,50.0,69.0,360.0,5.26,8.3,1.66,3.18,4,음식,분석,가정식 분석
돌솥 비빔밥,밥류,575.0,101.0,93.0,1.05,17.46,3.4,1.78,2,음식,산출,산업체 급식
돌솥비빔밥,밥류,550.0,86.0,116.0,1.23,13.99,2.81,2.07,1,음식,산출,외식 레시피
돔류,어패류 및 기타 수산물,,107.0,,0.1,0.1,19.8,2.5,54,원재료성식품,분석,
동가리류,어패류 및 기타 수산물,,106.0,,0.1,0.1,19.8,2.3,3,원재료성식품,분석,
동갈치,어패류 및 기타 수산물,,97.0,,0.42,0.42,19.78,1.3,1,원재료성식품,분석,
동부,두류,,166.0,2.0,0.21,29.34,9.51,1.02,5,원재료성식품,분석,
동사리,어패류 및 기타 수산물,,81.0,,0.0,0.0,16.9,1.0,1,원재료성식품,분석,
동아,채소류,,15.0,1.0,,3.8,0.5,0.1,2,원재료성식품,수집,
동자개,어패류 및 기타 수산물,,117.0,48.0,,0.0,17.71,4.47,10,원재료성식품,분석,
동죽,어패류 및 기타 수산물,,55.0,174.0,,1.94,10.19,0.46,2,원재료성식품,분석,
동충하초,버섯류,,27.0,23.0,0.33,7.07,5.56,0.38,2,원재료성식품,분석,
동치미,김치류,200.0,11.0,472.0,1.19,2.08,0.49,0.07,2,음식,분석,가정식 분석
동태 매운탕,찌개 및 전골류,610.0,25.0,184.0,0.54,1.98,3.3,0.5,2,음식,산출,산업체 급식
동태국,국 및 탕류,400.0,17.0,224.0,0.0,1.4,2.42,0.16,5,음식,분석,가정식 분석
동태까스,튀김류,,273.0,385.0,2.61,19.42,11.6,15.64,1,음식,산출,
동태양념구이,구이류,75.2,130.0,641.0,0.29,1.59,21.7,3.56,1,음식,산출,외식 레시피
동태전,전·적 및 부침류,70.0,195.0,318.0,0.26,6.11,16.48,11.63,5,음식,분석,산업체 급식
동태조림,조림류,230.0,110.0,557.0,4.08,6.96,16.32,1.88,3,음식,분석,산업체 급식
동태찌개,찌개 및 전골류,200.0,44.0,273.0,0.13,1.72,6.11,1.37,5,음식,분석,가정식 분석
동태찜,찜류,232.3,79.0,397.0,1.14,5.16,10.18,1.94,2,음식,분석,산업체 급식
동태튀김,튀김류,120.9,147.0,819.0,0.02,8.41,10.7,7.15,2,음식,산출,산업체 급식
동파육,찜류,,191.0,299.0,0.74,4.15,8.99,15.41,1,음식,분석,
돼지 부산물,육류,,157.0,40.0,0.0,0.09,21.4,7.26,22,원재료성식품,수집,
돼지갈비강정,튀김류,90.4,244.0,502.0,3.85,20.4,13.0,11.52,2,음식,산출,외식 레시피
돼지갈비구이,구이류,141.4,240.0,405.0,4.5,8.1,19.5,14.4,8,음식,분석,산업체 급식
돼지갈비전골,찌개 및 전골류,200.0,227.0,332.0,3.24,5.07,16.6,15.14,1,음식,산출,표시기준 1회 섭취참고량
돼지갈비찜,찜류,300.0,120.0,414.0,6.11,8.8,10.12,4.91,15,음식,분석,가정식 분석
돼지감자,감자 및 전분류,,39.0,2.0,0.0,17.16,2.23,0.11,3,원재료성식품,분석,
돼지고기,찜류,,164.0,62.0,0.2,1.56,29.36,4.44,3,음식,분석,
돼지고기 꼬치구이,구이류,105.0,171.0,116.0,1.79,2.89,27.7,4.74,3,음식,산출,산업체 급식
돼지고기 덮밥,밥류,,168.0,141.0,2.03,25.91,8.0,3.12,1,음식,산출,
돼지고기 스테이크,구이류,111.2,113.0,372.0,2.49,5.55,13.5,3.61,4,음식,산출,산업체 급식
돼지고기 장조림,조림류,50.0,133.0,349.0,2.67,5.93,15.4,4.84,6,음식,산출,산업체 급식
돼지고기 피망잡채,볶음류,,91.0,268.0,2.09,5.1,9.7,3.5,2,음식,산출,
돼지고기강정,튀김류,163.5,174.0,515.0,1.96,8.36,14.7,8.47,4,음식,산출,산업체 급식
돼지고기덮밥,밥류,,165.0,143.0,1.91,26.17,7.92,2.72,1,음식,산출,
돼지고기볶음,볶음류,230.0,175.0,526.0,4.1,9.11,11.48,10.33,29,음식,분석,가정식 분석
돼지고기볶음(제육볶음),볶음류,250.0,195.0,501.0,0.38,4.73,12.15,14.19,1,음식,분석,가정식 분석
돼지고기찌개,찌개 및 전골류,300.0,49.0,461.0,2.57,5.28,4.32,1.13,6,음식,분석,가정식 분석
돼지고기찜,찜류,,109.0,220.0,2.09,8.89,10.82,3.25,1,음식,산출,
돼지고기튀김,튀김류,73.4,222.0,513.0,0.02,6.24,20.9,11.67,1,음식,산출,외식 레시피
돼지기름,유지류,,915.0,17.0,0.0,0.58,0.0,99.38,1,원재료성식품,분석,
돼지껍데기구이,구이류,,348.0,475.0,3.42,3.37,23.74,26.64,1,음식,분석,
돼지등갈비찜,찜류,,214.0,532.0,5.36,12.76,16.02,10.93,1,음식,분석,
돼지등심 장조림,조림류,98.8,117.0,414.0,3.53,5.24,15.4,2.95,2,음식,산출,산업체 급식
돼지머리국밥,밥류,932.1,68.0,100.0,0.22,11.03,2.2,1.48,2,음식,산출,산업체 급식
돼지불고기,구이류,310.0,191.0,410.0,4.71,13.82,10.62,10.31,13,음식,분석,산업체 급식
돼지사태찜,찜류,177.3,84.0,207.0,2.76,7.02,7.6,2.65,4,음식,산출,산업체 급식
된장,장류,10.0,165.0,4320.0,9.0,19.0,13.0,4.1,425,가공식품,수집,표시기준 1회 섭취참고량
된장국,국 및 탕류,400.0,22.0,339.0,0.29,2.44,1.49,0.69,43,음식,분석,가정식 분석
된장찌개,찌개 및 전골류,300.0,35.0,570.0,0.41,3.81,3.18,0.79,33,음식,분석,가정식 분석
두류가공품,농산가공식품류,,149.0,81.0,1.7,10.8,13.8,6.8,1285,가공식품,수집,
두릅,채소류,,25.0,2.0,0.81,4.79,2.4,0.22,12,원재료성식품,분석,
두릅무침,생채·무침류,90.0,67.0,205.0,4.54,7.89,2.16,3.01,2,음식,분석,가정식 분석
두리안,과일류,,140.0,,,27.1,2.3,3.3,1,원재료성식품,수집,
두부,두부류 또는 묵류,80.0,85.0,3.0,0.31,3.0,8.0,4.56,1087,가공식품,수집,표시기준 1회 섭취참고량
두부 달걀찜,찜류,125.0,75.0,142.0,0.49,3.05,6.2,4.06,3,음식,산출,산업체 급식
두부 달걀탕,국 및 탕류,320.0,45.0,230.0,0.1,1.58,4.7,2.11,3,음식,산출,외식 레시피
두부 된장국,국 및 탕류,280.0,25.0,203.0,0.41,1.78,2.5,0.92,7,음식,산출,산업체 급식
두부 명란찌개,찌개 및 전골류,200.0,33.0,238.0,0.66,2.72,3.5,1.07,1,음식,산출,표시기준 1회 섭취참고량
두부 애호박찌개,찌개 및 전골류,200.0,27.0,61.0,0.88,3.6,2.0,0.62,1,음식,산출,표시기준 1회 섭취참고량
두부 청국장찌개,찌개 및 전골류,255.0,34.0,171.0,0.68,3.09,2.8,1.12,6,음식,산출,산업체 급식
두부 탕수,튀김류,200.0,123.0,192.0,3.26,15.13,4.5,4.82,3,음식,산출,외식 레시피
두부국,국 및 탕류,270.0,19.0,185.0,0.22,1.25,1.8,0.83,4,음식,산출,산업체 급식
두부김치,볶음류,224.1,115.0,396.0,0.59,5.63,7.79,6.85,5,음식,분석,산업체 급식
두부냉채,생채·무침류,150.0,77.0,303.0,1.25,4.39,8.7,2.81,3,음식,산출,산업체 급식
두부볶음,볶음류,113.4,197.0,246.0,3.68,13.12,12.4,10.52,2,음식,산출,산업체 급식
두부부침,전·적 및 부침류,110.0,140.0,429.0,0.24,2.07,10.92,9.77,6,음식,분석,산업체 급식
두부전,전·적 및 부침류,160.0,170.0,211.0,0.02,5.0,13.64,10.58,5,음식,분석,산업체 급식
두부전골,찌개 및 전골류,370.0,63.0,330.0,0.7,3.42,5.12,3.22,2,음식,분석,외식 레시피
두부조림,조림류,50.0,138.0,353.0,1.73,8.66,10.51,6.73,7,음식,산출,가정식 분석
두부찌개,찌개 및 전골류,300.0,55.0,297.0,0.72,3.5,5.71,1.98,10,음식,분석,가정식 분석
두부튀김,튀김류,146.8,122.0,264.0,0.87,9.65,6.4,6.22,4,음식,산출,산업체 급식
두유,음료류,210.0,47.6,64.8,2.01,4.51,3.01,1.81,756,가공식품,수집,표시기준 1회 섭취참고량
두유 카페라떼,음료 및 차류,355.0,30.0,32.0,1.34,2.12,1.4,1.76,2,음식,산출,외식 레시피
두충차,차류,,354.0,31.0,,67.9,14.3,3.8,1,원재료성식품,분석,
둑중개,어패류 및 기타 수산물,,120.0,90.0,,0.2,15.8,5.8,3,원재료성식품,수집,
둥굴레,채소류,,52.0,9.0,,11.7,3.4,0.2,2,원재료성식품,분석,
둥굴레차,차류,,1.0,0.0,0.0,0.27,0.0,0.01,1,원재료성식품,분석,
드렁허리,어패류 및 기타 수산물,,92.0,,0.0,0.0,17.9,1.7,1,원재료성식품,분석,
드레싱,조미식품,15.0,222.0,789.0,13.06,16.78,0.23,17.1,532,가공식품,수집,표시기준 1회 섭취참고량
들기름,식용유지류,5.0,907.6,0.0,0.0,0.0,0.0,100.0,689,가공식품,수집,표시기준 1회 섭취참고량
들깨,채소류,,530.0,5.0,1.48,35.53,23.59,36.23,6,원재료성식품,분석,
들깨국,국 및 탕류,270.0,15.0,155.0,0.41,1.68,0.68,0.77,3,음식,산출,산업체 급식
들깨죽,죽 및 스프류,213.7,152.0,630.0,0.25,21.16,3.7,5.83,2,음식,산출,산업체 급식
들깻잎장아찌,장아찌·절임류,15.0,124.0,1809.0,16.41,26.0,4.03,0.42,1,음식,분석,표시기준 1회 섭취참고량
등심돈가스,튀김류,213.0,174.0,250.0,1.61,14.56,13.8,5.89,3,음식,산출,외식 레시피
딸기,과일류,,33.0,1.0,6.14,8.15,0.75,0.14,5,원재료성식품,분석,
딸기넥타,음료 및 차류,355.0,31.0,6.0,6.39,7.96,0.4,0.09,1,음식,산출,외식 레시피
딸기바나나 스무디,음료 및 차류,355.0,54.0,11.0,9.34,11.75,1.1,0.68,3,음식,산출,산업체 급식
땅콩,견과 및 종실류,,567.0,4.0,5.18,19.91,28.5,46.24,8,원재료성식품,분석,
땅콩기름,유지류,,884.0,0.0,0.0,0.0,0.0,100.0,1,원재료성식품,수집,
땅콩기름(낙화생유),식용유지류,5.0,900.0,0.0,0.0,0.0,0.0,100.0,29,가공식품,수집,표시기준 1회 섭취참고량
땅콩버터,농산가공식품류,5.0,625.0,10.0,5.0,23.0,26.0,48.0,422,가공식품,수집,표시기준 1회 섭취참고량
땅콩조림,조림류,20.0,483.0,574.0,9.85,19.95,18.75,36.4,4,음식,분석,가정식 분석
땅콩죽,죽 및 스프류,198.1,147.0,163.0,0.48,24.97,3.9,3.29,3,음식,산출,산업체 급식
때죽,견과 및 종실류,,551.0,,,31.8,13.6,44.7,1,원재료성식품,분석,
떡,과자류·빵류 또는 떡류,100.0,229.0,233.0,5.69,50.38,3.96,1.26,6161,가공식품,수집,표시기준 1회 섭취참고량
떡갈비,구이류,200.0,202.0,404.0,0.4,2.46,21.38,11.82,1,음식,분석,가정식 분석
떡강정,튀김류,200.0,249.0,446.0,5.34,47.89,3.79,4.72,8,음식,분석,가정식 분석
떡국,면 및 만두류,700.0,84.0,176.0,0.08,16.37,3.43,0.53,15,음식,분석,가정식 분석
떡만두국,면 및 만두류,600.0,111.0,206.0,0.01,15.47,3.53,3.91,11,음식,분석,가정식 분석
떡볶이,볶음류,190.0,158.0,479.0,4.47,28.62,5.25,2.55,56,음식,분석,가정식 분석
떡산적,전·적 및 부침류,146.8,157.0,418.0,2.92,18.95,9.0,5.16,4,음식,산출,산업체 급식
떡조개,어패류 및 기타 수산물,,87.0,,7.4,7.4,11.2,1.0,2,원재료성식품,분석,
또띠아,빵 및 과자류,,228.0,481.0,2.0,28.0,11.0,8.0,25,음식,수집,
또띠아/난,과자류·빵류 또는 떡류,70.0,294.0,494.0,1.75,48.39,8.03,7.61,188,가공식품,수집,표시기준 1회 섭취참고량
뜸부기,해조류,,128.0,,46.8,52.1,6.1,2.5,1,원재료성식품,분석,
라떼,음료 및 차류,,67.0,27.0,7.9,8.87,1.78,2.63,988,음식,수집,
라멘,면 및 만두류,,89.0,388.0,1.1,11.36,4.57,2.77,5,음식,분석,
라면,면 및 만두류,550.0,99.0,352.0,0.15,13.33,2.8,3.83,30,음식,분석,가정식 분석
라면과자,면류,120.0,464.0,945.0,3.64,69.09,9.09,16.36,32,가공식품,수집,표시기준 1회 섭취참고량
라벤다,조미료류,,330.0,35.0,,63.3,12.6,8.7,1,원재료성식품,분석,
라볶이,볶음류,200.0,134.0,311.0,0.94,20.14,2.83,4.71,3,음식,분석,가정식 분석
라이마빈스,두류,,122.0,0.0,0.5,26.0,9.6,0.9,2,원재료성식품,수집,
라이스페이퍼,면류,,340.0,320.0,0.0,83.0,1.0,0.3,137,가공식품,수집,
라임,과일류,,30.0,2.0,1.69,10.54,0.7,0.2,1,원재료성식품,수집,
라임 주스,과일류,,25.0,2.0,1.69,8.42,0.42,0.07,1,원재료성식품,수집,
라조기,튀김류,198.0,199.0,324.0,0.08,13.12,10.33,11.75,3,음식,분석,외식 레시피
라즈베리,과일류,,52.0,1.0,4.42,11.94,1.2,0.65,2,원재료성식품,수집,
런천미트구이,구이류,160.0,303.0,954.0,1.71,3.27,17.56,24.38,5,음식,분석,가정식 분석
레몬,과일류,,36.0,2.0,1.87,9.27,0.71,0.08,1,원재료성식품,분석,
레몬그라스(시트로넬라),조미료류,,99.0,6.0,,25.31,1.82,0.49,1,원재료성식품,수집,
레몬차,음료 및 차류,,41.0,15.0,8.51,10.14,0.0,0.0,51,음식,수집,
레몬청차,음료 및 차류,,60.0,3.0,16.33,14.8,0.13,0.01,1,음식,분석,
레몬홍차,음료 및 차류,,23.0,0.0,5.29,,0.01,,5,음식,수집,
렌즈콩(렌틸콩),두류,,359.0,0.0,1.3,65.42,21.01,1.43,3,원재료성식품,분석,
로열젤리,기타,,104.0,12.0,12.04,12.82,14.29,1.4,1,원재료성식품,분석,
로열젤리제품,벌꿀 및 화분가공품류,,145.0,11.0,11.9,16.5,14.5,2.4,3,가공식품,수집,
로즈마리,조미료류,,331.0,50.0,,64.06,4.88,15.22,1,원재료성식품,수집,
롤빵,빵 및 과자류,70.0,306.0,100.0,16.88,26.25,5.63,20.0,17,음식,수집,표시기준 1회 섭취참고량
롱안,과일류,,60.0,0.0,,15.14,1.31,0.1,2,원재료성식품,수집,
루꼴라,채소류,,26.0,13.0,0.97,4.2,3.17,0.43,1,원재료성식품,분석,
리소토/리조또,밥류,,187.0,253.0,2.09,15.9,3.11,12.29,5,음식,분석,
리치,과일류,,61.0,,14.9,16.4,1.0,0.1,2,원재료성식품,수집,
리큐르,주류,,34.0,1.0,1.92,2.21,0.03,0.04,2,가공식품,수집,
리크,채소류,,54.0,4.0,,13.2,1.8,0.3,2,원재료성식품,분석,
마,감자 및 전분류,,45.0,3.0,2.22,9.55,1.56,0.28,4,원재료성식품,분석,
마가린,식용유지류,5.0,730.0,300.0,0.0,1.0,0.0,80.0,80,가공식품,수집,표시기준 1회 섭취참고량
마가목 열매,과일류,,115.0,,,25.5,1.3,0.8,1,원재료성식품,분석,
마늘,채소류,,129.0,5.0,0.0,26.23,7.88,0.19,17,원재료성식품,분석,
마늘빵,빵 및 과자류,50.0,352.0,438.0,16.19,52.38,6.67,11.43,6,음식,수집,가정식 분석
마늘장아찌,장아찌·절임류,15.0,113.0,1127.0,15.03,25.36,2.43,0.16,1,음식,분석,표시기준 1회 섭취참고량
마늘장아찌무침,생채·무침류,40.0,99.0,805.0,11.66,21.85,1.88,0.7,1,음식,산출,외식 레시피
마늘종,채소류,,53.0,1.0,5.46,13.39,1.86,0.06,2,원재료성식품,분석,
마늘쫑무침,생채·무침류,30.0,106.0,313.0,7.47,12.77,2.73,4.93,4,음식,분석,가정식 분석
마늘쫑볶음,볶음류,95.0,117.0,505.0,5.7,15.42,7.54,2.78,15,음식,분석,가정식 분석
마늘쫑장아찌,장아찌·절임류,15.0,118.0,1410.0,13.02,27.34,1.96,0.14,3,음식,분석,표시기준 1회 섭취참고량
마늘쫑장아찌무침,생채·무침류,50.0,79.0,706.0,8.48,17.7,1.3,0.58,4,음식,산출,산업체 급식
마늘쫑조림,조림류,50.0,217.0,956.0,10.19,31.38,4.9,10.6,2,음식,산출,외식 레시피
마들렌,과자류·빵류 또는 떡류,70.0,439.0,150.0,23.76,50.31,5.96,23.76,664,가공식품,수집,표시기준 1회 섭취참고량
마라탕,찌개 및 전골류,200.0,88.0,425.0,1.92,5.72,4.64,5.15,2,음식,분석,표시기준 1회 섭취참고량
마름,견과 및 종실류,,183.0,5.0,1.6,40.6,5.8,0.5,1,원재료성식품,수집,
마시멜로,과자류·빵류 또는 떡류,10.0,341.0,41.0,53.5,81.7,3.6,0.0,413,가공식품,수집,표시기준 1회 섭취참고량
마요네즈,조미식품,10.0,620.0,690.0,2.0,2.0,1.0,68.0,153,가공식품,수집,표시기준 1회 섭취참고량
마카로니 샐러드,생채·무침류,170.0,138.0,125.0,2.75,13.76,2.4,7.98,4,음식,산출,산업체 급식
마카롱,빵 및 과자류,30.0,438.0,62.0,44.0,56.0,4.5,21.5,187,음식,수집,표시기준 1회 섭취참고량
마카롱/다쿠아즈,과자류·빵류 또는 떡류,30.0,439.0,61.0,38.8,56.66,6.46,20.76,1544,가공식품,수집,표시기준 1회 섭취참고량
마타리,채소류,,45.0,,,10.9,2.1,0.1,1,원재료성식품,분석,
마테차,음료 및 차류,,2.0,0.0,0.11,0.28,0.06,0.04,7,음식,수집,
마파두부,볶음류,160.0,129.0,366.0,2.02,4.62,7.42,9.0,6,음식,분석,가정식 분석
막걸리,주류,,43.0,1.0,0.2,0.9,1.3,0.1,11,가공식품,수집,
막국수,면 및 만두류,632.4,83.0,363.0,1.74,15.71,3.4,0.71,3,음식,산출,산업체 급식
막창구이,구이류,,358.0,162.0,1.36,0.4,15.34,32.73,1,음식,분석,
만가닥버섯,버섯류,,19.0,2.0,0.37,6.34,2.5,0.34,2,원재료성식품,분석,
만두,면 및 만두류,220.0,187.0,423.0,0.67,23.82,8.13,6.59,6,음식,분석,가정식 분석
만두국,면 및 만두류,700.0,87.0,333.0,0.06,8.94,3.74,4.0,9,음식,분석,가정식 분석
만두전골,찌개 및 전골류,200.0,57.0,250.0,0.7,5.55,3.61,2.23,2,음식,분석,표시기준 1회 섭취참고량
만두탕수,면 및 만두류,520.8,88.0,118.0,1.69,11.38,3.0,3.38,4,음식,산출,산업체 급식
만두피,즉석식품류,,275.0,250.0,2.0,58.0,8.0,1.0,48,가공식품,수집,
만새기,어패류 및 기타 수산물,,66.0,,0.0,0.0,13.3,1.1,2,원재료성식품,분석,
만쥬,과자류·빵류 또는 떡류,70.0,306.0,171.0,29.55,60.2,6.87,4.16,271,가공식품,수집,표시기준 1회 섭취참고량
말고기,육류,,102.0,50.0,,0.3,20.1,2.5,1,원재료성식품,수집,
맛살전,전·적 및 부침류,200.0,165.0,559.0,1.14,19.69,7.48,6.24,5,음식,분석,가정식 분석
맛조개,어패류 및 기타 수산물,,95.0,,2.5,2.5,16.1,1.8,4,원재료성식품,분석,
망고,과일류,,61.0,0.0,13.66,15.97,0.72,0.1,2,원재료성식품,분석,
망고스틴,과일류,,71.0,1.0,,17.5,0.6,0.2,1,원재료성식품,수집,
망둑어류,어패류 및 기타 수산물,,90.0,,0.3,0.3,18.7,1.1,3,원재료성식품,분석,
망둥어찌개,찌개 및 전골류,298.8,44.0,483.0,1.08,3.4,5.9,0.85,1,음식,산출,외식 레시피
망둥어찜,찜류,175.5,52.0,202.0,0.68,2.96,8.5,0.7,1,음식,산출,산업체 급식
망상어류,어패류 및 기타 수산물,,133.0,,0.4,0.4,21.8,4.2,2,원재료성식품,분석,
매생이,해조류,,125.0,,35.4,40.6,20.6,0.5,7,원재료성식품,분석,
매생이국,국 및 탕류,250.0,24.0,284.0,0.08,2.68,2.0,0.56,1,음식,분석,표시기준 1회 섭취참고량
매실,과일류,,41.0,3.0,,7.8,1.1,1.1,4,원재료성식품,분석,
매실 절임,과일류,,29.0,7200.0,0.9,8.6,0.9,0.7,2,원재료성식품,수집,
매실장아찌,장아찌·절임류,30.0,65.0,3728.0,7.87,11.03,1.27,1.77,2,음식,분석,가정식 분석
매운 어묵볶음,볶음류,,90.0,397.0,2.38,11.02,5.1,2.93,4,음식,산출,
매운탕,찌개 및 전골류,600.0,43.0,345.0,0.52,2.32,6.85,0.71,16,음식,분석,가정식 분석
매작과,빵 및 과자류,30.0,413.0,99.0,16.42,66.11,7.51,13.15,1,음식,분석,표시기준 1회 섭취참고량
매퉁이류,어패류 및 기타 수산물,,97.0,,0.1,0.1,20.0,1.3,4,원재료성식품,분석,
맥주,주류,,25.0,0.0,0.0,0.9,0.0,0.0,11,가공식품,수집,
맵쌀 국수,곡류,,132.0,23.0,0.0,28.37,2.59,0.29,1,원재료성식품,분석,
머루,과일류,,79.0,0.0,7.39,18.32,1.51,0.94,4,원재료성식품,분석,
머루씨,견과 및 종실류,,282.0,3.0,,54.0,6.3,4.8,1,원재료성식품,분석,
머위,채소류,,17.0,2.0,0.07,2.74,2.31,0.14,5,원재료성식품,분석,
머위나물,나물·숙채류,60.0,30.0,731.0,0.19,3.05,2.2,1.42,3,음식,산출,외식 레시피
머위나물무침,나물·숙채류,,85.0,452.0,0.44,2.49,1.62,7.66,1,음식,분석,
머위나물볶음,볶음류,,72.0,479.0,1.2,5.07,2.33,4.67,1,음식,분석,
머위대나물무침,나물·숙채류,50.0,58.0,363.0,0.34,4.76,3.96,2.56,1,음식,분석,가정식 분석
머핀,빵 및 과자류,130.0,418.0,210.0,17.4,42.0,6.5,24.9,60,음식,수집,가정식 분석
먹장어,어패류 및 기타 수산물,,129.0,,0.4,0.4,16.9,6.0,1,원재료성식품,분석,
멍게류,어패류 및 기타 수산물,,52.0,,2.06,2.06,7.54,1.25,13,원재료성식품,분석,
메기,어패류 및 기타 수산물,,124.0,55.0,,0.11,17.23,5.4,6,원재료성식품,분석,
메기 매운탕,찌개 및 전골류,760.0,59.0,264.0,0.69,7.39,4.0,1.46,1,음식,산출,외식 레시피
메기찜,찜류,528.2,71.0,150.0,0.77,5.37,7.3,2.33,1,음식,산출,외식 레시피
메뚜기,기타,,125.0,49.0,0.0,1.86,24.29,2.26,1,원재료성식품,분석,
메밀,곡류,,363.0,1.0,0.3,67.84,13.64,3.38,3,원재료성식품,분석,
메밀 국수,곡류,,291.0,455.0,0.0,61.14,7.59,0.96,4,원재료성식품,분석,
메밀 냉면,곡류,,141.0,68.0,0.0,28.71,4.22,0.59,2,원재료성식품,분석,
메밀국수,면 및 만두류,350.0,63.0,194.0,0.0,12.06,3.14,0.29,1,음식,분석,가정식 분석
메밀국수/냉면국수,면류,200.0,243.0,412.0,1.18,51.61,6.67,1.06,1119,가공식품,수집,표시기준 1회 섭취참고량
메밀묵,곡류,,54.0,132.0,0.0,11.77,1.11,0.41,2,원재료성식품,분석,
메밀묵 무침,생채·무침류,144.5,65.0,249.0,1.46,12.05,1.6,1.27,2,음식,산출,산업체 급식
메밀묵국,국 및 탕류,144.5,61.0,231.0,1.38,11.26,1.5,1.22,4,음식,산출,산업체 급식
