name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset,method,serving_basis
단호박 샐러드,생채·무침류,50.0,125.0,84.0,3.45,10.27,1.2,9.28,1,음식,산출,외식 레시피
단호박조림,조림류,,71.0,815.0,4.39,15.18,2.2,0.94,3,음식,산출,
단호박찜,찜류,90.0,41.0,2.0,3.63,10.04,0.93,0.16,1,음식,산출,외식 레시피
달강어,어패류 및 기타 수산물,,91.0,90.0,,0.0,19.73,0.83,2,원재료성식품,분석,
달걀,수·조·어·육류,,150.0,127.0,0.62,0.63,12.8,10.65,3,음식,분석,
달걀 샐러드,생채·무침류,159.5,165.0,181.0,0.83,5.49,6.0,13.17,3,음식,산출,산업체 급식
달걀/메추리알,알가공품류,50.0,130.0,280.0,0.0,2.0,12.0,8.2,539,가공식품,수집,표시기준 1회 섭취참고량
달걀국,국 및 탕류,400.0,13.0,246.0,0.0,0.69,0.93,0.74,6,음식,분석,가정식 분석
달걀말이,전·적 및 부침류,82.4,183.0,297.0,1.29,4.62,11.15,13.31,15,음식,분석,산업체 급식
달걀부침(달걀후라이),전·적 및 부침류,60.0,208.0,161.0,0.03,5.15,15.73,13.78,5,음식,분석,가정식 분석
달걀조림,조림류,94.6,84.0,511.0,2.77,4.63,6.9,3.9,4,음식,산출,산업체 급식
달걀찜,찜류,200.0,89.0,329.0,0.0,4.46,4.76,5.77,15,음식,분석,가정식 분석
달걀탕,국 및 탕류,350.0,29.0,101.0,0.0,0.94,1.78,2.04,1,음식,분석,가정식 분석
달걀튀김,튀김류,92.2,256.0,121.0,0.58,14.74,10.2,16.26,1,음식,산출,외식 레시피
달걀후라이,전·적 및 부침류,70.0,178.0,218.0,0.19,3.05,11.0,12.76,2,음식,산출,산업체 급식
달고기류,어패류 및 기타 수산물,,86.0,74.0,,0.0,19.38,0.5,8,원재료성식품,분석,
달래,채소류,,56.0,4.0,2.83,13.41,2.35,0.31,2,원재료성식품,분석,
달래 된장국,국 및 탕류,250.0,39.0,188.0,0.79,2.55,3.0,1.85,2,음식,산출,표시기준 1회 섭취참고량
달래무침,생채·무침류,60.0,63.0,567.0,3.83,6.07,2.92,3.02,6,음식,분석,가정식 분석
달팽이,기타,,90.0,70.0,0.0,2.0,16.1,1.4,1,원재료성식품,수집,
닭 부산물,육류,,199.0,66.0,0.0,0.0,17.64,13.27,10,원재료성식품,분석,
닭 육수,육류,,12.0,13.0,,0.0,1.3,0.7,1,원재료성식품,분석,
닭가슴살 샐러드,생채·무침류,300.0,37.0,56.0,1.21,2.03,4.1,1.36,3,음식,산출,산업체 급식
닭강정,튀김류,183.9,146.0,355.0,3.09,12.02,13.5,4.3,4,음식,산출,산업체 급식
닭고기,육류,,189.0,76.0,0.0,0.0,24.34,9.17,26,원재료성식품,분석,
닭고기 덮밥,밥류,634.0,97.0,120.0,0.92,16.4,5.3,0.7,4,음식,산출,산업체 급식
닭고기 미역국,국 및 탕류,280.0,21.0,191.0,0.01,0.71,3.2,0.74,4,음식,산출,산업체 급식
닭고기 샐러드,생채·무침류,114.5,109.0,359.0,1.08,3.17,8.6,6.85,3,음식,산출,산업체 급식
닭고기 탕수,튀김류,230.0,95.0,60.0,2.66,8.8,7.4,3.15,2,음식,산출,산업체 급식
닭고기냉채,생채·무침류,150.0,72.0,21.0,3.23,5.72,10.8,0.92,3,음식,산출,산업체 급식
닭고기육개장,국 및 탕류,440.0,28.0,141.0,0.4,1.52,2.64,1.32,4,음식,산출,산업체 급식
닭곰탕,국 및 탕류,650.0,51.0,170.0,0.3,2.0,7.51,1.42,5,음식,분석,가정식 분석
닭구이,구이류,340.0,257.0,751.0,0.0,7.8,26.21,13.39,6,음식,분석,가정식 분석
닭기름,유지류,,900.0,0.0,0.0,0.0,0.0,99.8,1,원재료성식품,수집,
닭껍데기튀김,튀김류,,616.0,938.0,0.67,,20.42,,1,음식,수집,
닭꼬치구이,구이류,90.0,181.0,122.0,3.8,5.55,32.1,2.58,1,음식,산출,외식 레시피
닭날개구이,구이류,105.0,121.0,250.0,1.49,3.77,11.12,6.51,4,음식,산출,산업체 급식
닭다리구이,구이류,112.4,201.0,423.0,0.73,,20.6,,6,음식,수집,산업체 급식
닭다리조림,조림류,87.3,182.0,156.0,3.22,9.19,14.0,8.86,2,음식,산출,산업체 급식
닭다리튀김,튀김류,200.0,323.0,410.0,3.71,17.88,18.86,19.6,6,음식,분석,가정식 분석
닭도리탕,조림류,300.0,78.0,166.0,1.55,5.6,6.51,3.34,4,음식,산출,산업체 급식
닭모래집볶음,볶음류,200.0,176.0,364.0,2.73,2.82,28.11,5.8,2,음식,분석,외식 레시피
닭모래집튀김,튀김류,,312.0,215.0,1.2,19.4,18.73,17.73,4,음식,분석,
닭발 육수,육류,,4.0,20.0,0.0,0.0,0.25,0.28,1,원재료성식품,분석,
닭발구이,구이류,220.0,196.0,827.0,0.31,9.7,18.15,9.41,6,음식,분석,가정식 분석
닭발볶음,볶음류,200.0,186.0,974.0,6.37,11.72,13.8,9.38,1,음식,분석,가정식 분석
닭발튀김,튀김류,,448.0,783.0,1.88,,17.63,,1,음식,수집,
닭백숙,국 및 탕류,270.6,56.0,49.0,0.37,4.49,4.23,2.11,2,음식,산출,산업체 급식
닭볶음,볶음류,280.0,137.0,270.0,3.65,12.63,14.7,3.01,1,음식,산출,외식 레시피
닭볶음(닭갈비),볶음류,190.0,149.0,384.0,5.3,11.23,11.48,6.45,14,음식,분석,가정식 분석
닭볶음탕,조림류,300.0,107.0,359.0,4.29,10.62,6.66,4.21,2,음식,분석,가정식 분석
닭조림,조림류,200.0,152.0,290.0,2.04,13.25,9.12,6.94,6,음식,분석,가정식 분석
닭죽,죽 및 스프류,400.0,112.0,191.0,0.83,15.7,5.7,2.58,8,음식,산출,가정식 분석
닭찜,찜류,300.0,91.0,364.0,4.45,9.3,7.61,2.59,12,음식,분석,가정식 분석
닭튀김,튀김류,200.0,301.0,415.0,0.5,16.27,21.73,16.57,251,음식,분석,가정식 분석
닭튀김 샐러드,생채·무침류,300.0,79.0,102.0,1.0,3.98,3.8,5.3,4,음식,산출,산업체 급식
